HEX,L*,a*,b*
#fffcf4,98.99088714389623,-0.378728563984021,4.178868551967807
#f9edc7,93.81119181220815,-1.9107706699119098,19.901289417379363
#f0eade,92.8589955195835,-0.02363003462801938,6.541455071908864
#dfb370,75.51409401171848,7.760234812736244,40.07577783869456
#9b5608,43.71743960770456,23.705268941165812,50.42384758804979
#82480b,36.75457884275193,20.51480711917206,42.7782836047351
#d9d6dd,86.03909076520219,2.2898593808862167,-3.072917533003272
#3b5ba8,39.978149768834534,13.725180411467697,-44.96096029337024
#4474b6,48.37999869750493,4.594370770365841,-39.7672685457755
#ffe898,92.2397694840906,-2.946422056716136,41.74290169789154
#fef478,94.79386708681163,-12.227154556978814,60.096733176924275
#7c66a4,47.58248704840953,22.149991263608836,-30.253115352556303
#fe9fa7,75.24030250089939,36.230565063354426,10.840283161662834
#ff7f8c,68.2687236152581,49.77574341147933,16.047693540100806
#e84b60,55.111017803216185,61.536258879454685,22.842599642922256
#ffcead,86.2175641770605,12.771359052785037,22.97395031308238
#fea587,75.90640829469187,29.658966849303305,29.156942167982546
#fe786c,66.20723051043753,50.09148458261248,31.154606460385903
#ff8258,67.97323336309941,44.31543942688787,44.15651814524648
#ff5a1d,60.48722236409573,60.36612359689714,63.66327626445178
#f83700,54.75713921055427,69.96410932997127,66.94816390057412
#cde692,87.79905953382335,-21.70547164234371,38.24462806665028
#77c55f,72.68028118261512,-43.18292304612942,43.36406525141003
#01b866,65.93851527913846,-58.03904246881719,30.82207918527322
#7895f1,63.20730667373729,14.787367747749357,-49.399352209512195
#6b88cc,57.164891231214696,8.216812403000262,-38.36335499825352
#98c1ef,76.70610450953548,-2.5522159609060457,-27.149191063588418
#72dece,81.98610901567625,-34.990979440566285,-1.7444412038064794
#77fbfd,91.68600680970364,-35.660746764967556,-12.04799094935649
#01b8d7,68.88846155634985,-27.702796970775157,-26.489095240554118
